GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 16:51:26 GMT+05:30 2018,04-Feb-2018 16:51:25.740,77.59232321,12.86191785,2.29,9.648001,815.33740234375,266.8,0.01561431,-0.10601514,0.40443099,0.82518345,-,13.02173901,13.02173901,13.05339622,0.26638186,0.09823439,223.02331543,0,52,1.21149111,72.15686035,892,0.02239137,0.90153724,15.02562046,-,-,46.89749908,0.02665639,9.64800072,815.33740234,266.79998779,12.8619175,77.5923233,23,1.62463641,31,4.06105661,14.27579594,7.31885767,7.00471783,13.66305065,1.74000001,40.32710648,20.67473793,8.24399948,3,14.90196133,12.560956,13.78373432,7.25477695,38.93710327,0.37777424,16.25419044,108,108.2009964,0,-7.6869998,14.30000019,60
Sun Feb 04 16:51:31 GMT+05:30 2018,04-Feb-2018 16:51:30.740,77.5922537,12.86192379,1.99,9.648001,817.103515625,232.3,0.16069569,-0.13505816,0.52694774,0.92488039,-,12.55102062,12.55102062,13.05339622,0.26610222,0.10162855,222.98750305,0,53,0.82273227,30.58823586,1404.75,0.02433502,1.31291986,21.88199615,-,-,46.89393997,0.02897026,9.64800072,817.10351562,232.30000305,12.86192417,77.59225464,21,1.10330212,31,5.07632065,7.47594023,7.31554651,13.37596607,13.66923428,3.66000009,21.11847496,20.6653862,7.16400003,10,19.6078434,5.5927,12.99025726,7.69791651,36.69564438,0.38719526,16.26361084,113,113.18299866,0,-7.97707558,14.10000038,52
Sun Feb 04 16:51:36 GMT+05:30 2018,04-Feb-2018 16:51:35.740,77.59221304,12.8618169,2.65,10.72,815.98583984375,182.1,0.24798229,-0.23256043,0.71090555,0.8984614,-,12.5,12.5,13.05339622,0.26610222,0.10194881,222.98774719,0,54,1.85233378,18.8235302,982.75,0.02452802,0.63871562,10.64525986,-,-,46.89358521,0.02920002,10.72000027,815.98583984,182.1000061,12.86181736,77.59221649,16,2.48402047,31,7.25188684,15.72525311,7.31886911,6.35906553,13.66302872,2.19000006,44.42161942,20.67477226,9.53999996,12,15.29411793,5.5927,13.06622982,7.65315819,36.91025162,0.40199581,16.27841187,118,118.2460022,0,-9.42745304,14.30000019,47
Sun Feb 04 16:51:41 GMT+05:30 2018,04-Feb-2018 16:51:40.740,77.59220356,12.86164646,1.13,10.72,815.0146484375,175.1,0.21542837,-0.11620478,0.25537395,1.08217502,-,12.56363678,12.56363678,13.05339622,0.03098533,0.09573293,223.1169281,0,54,5.14948177,23.52941132,939.25,0.0250106,0.23677297,3.94621611,-,-,46.89270401,0.02977453,10.72000027,815.01464844,175.1000061,12.86164665,77.59220123,15,6.90556908,31,3.62594342,17.60917091,7.32398462,5.67874098,13.65348625,2.01999998,49.74341965,20.68922234,4.06799984,11,21.96078491,-,13.10472488,7.63067675,37.01899719,0.42261481,16.2990303,123,123.21299744,0,-9.42745304,14.30000019,48
Sun Feb 04 16:51:46 GMT+05:30 2018,04-Feb-2018 16:51:45.740,77.5922016,12.86161136,1.12,10.72,814.9512939453125,174.8,0.02435728,-0.04097475,0.49820957,0.79369992,-,12.48214245,12.48214245,13.05339622,0.03098533,0.09926713,223.23153687,0,55,3.44301796,82.35294342,1312.25,0.02606756,3.49524927,58.25415802,-,-,46.89076614,0.03103282,10.72000027,814.95129395,174.80000305,12.86161137,77.59220123,16,4.61716318,31,11.16790581,3.23635864,7.32237148,30.898283,13.65649414,6.96999979,9.14225578,20.68466568,4.03200006,17,23.13725471,-,12.85169029,7.78091621,36.30420685,0.44060332,16.31701851,128,128.2539978,0,-7.54196215,14.19999981,79
Sun Feb 04 16:51:51 GMT+05:30 2018,04-Feb-2018 16:51:50.739,77.59219723,12.86131415,3.21,10.72,817.2802734375,178.9,-0.00540632,-0.04561149,0.35873085,0.82616025,-,12.60317421,12.60317421,13.05339622,0.14297427,0.0980323,223.375,0,57,-,17.25490189,887,0.027005,0.67127526,11.18792152,-,-,46.88904953,0.03214881,10.72000027,817.28027344,178.8999939,12.86131382,77.5921936,18,-,32,3.62594342,25.84183311,7.32896042,3.86961389,13.64421654,1.86000001,72.99953461,20.70327759,11.55599976,7,14.50980377,-,13.13102531,7.61539316,37.09329224,0.45967954,16.33609581,133,133.24099731,0,-9.86256599,14.30000019,62
Sun Feb 04 16:51:56 GMT+05:30 2018,04-Feb-2018 16:51:55.740,77.59218674,12.8611121,3.46,10.72,818.435791015625,200.8,-0.008921,-0.0689803,0.52194387,0.7392754,-,12.515625,12.515625,13.05339622,0.28151494,0.1065276,223.28765869,0,57,5.97292948,87.45098114,1212,0.03056531,1.96403396,32.73389816,-,-,46.88253021,0.03638728,10.72000027,818.43579102,200.80000305,12.86111164,77.59218597,14,8.00983047,31,10.00760365,3.79274416,7.32572031,26.36558533,13.65025043,6.19000006,10.71396637,20.69412613,12.45599937,16,23.13725471,-,12.65902996,7.89933491,35.75997162,0.47480631,16.35122299,138,138.2539978,0,-0.72518826,13.80000019,71
Sun Feb 04 16:52:01 GMT+05:30 2018,04-Feb-2018 16:52:00.740,77.59221022,12.86107266,3.84,11.792,819.947998046875,357.1,0.08454344,-0.12828581,0.3272489,0.92561305,-,12.60294151,12.60294151,13.05339622,0.17682181,0.10763813,223.23382568,0,57,-,23.13725471,1089.5,0.03187037,1.46723688,24.45394897,-,-,46.8801384,0.03794092,11.79199982,819.94799805,357.1000061,12.86107254,77.59220886,16,-,32,3.62594342,10.80965519,7.32709312,9.25079632,13.64769363,1.74000001,30.53574944,20.69800377,13.8239994,11,18.03921509,-,12.61602116,7.92626429,35.63847733,0.49440312,16.37081909,143,143.23599243,0,-9.42745304,14.30000019,67
Sun Feb 04 16:52:06 GMT+05:30 2018,04-Feb-2018 16:52:05.742,77.59220106,12.86091974,3.08,10.72,818.23095703125,311.5,0.00512241,0.02119898,0.27605808,0.86587977,-,12.44285679,12.44285679,13.05339622,0.06242124,0.10600153,223.39587402,0,58,1.76318872,81.5686264,1088.75,0.03295268,1.78531229,29.75520325,-,-,46.87815857,0.03922939,10.72000027,818.23095703,311.5,12.86091995,77.59220123,17,2.36447501,32,10.73279285,3.94102025,7.33001375,25.37361336,13.64225578,3.66000009,11.13282585,20.70625305,11.08799934,15,23.13725471,-,12.54580784,7.97062445,35.44013596,0.50893867,16.385355,148,148.10299683,0,-1.88549042,14.19999981,56
Sun Feb 04 16:52:11 GMT+05:30 2018,04-Feb-2018 16:52:10.742,77.5922692,12.86079304,3.22,10.72,817.26171875,284.1,0.14189516,-0.31389242,0.30131674,0.95532644,-,12.51351357,12.51351357,13.05339622,0.05968902,0.10466909,223.69036865,0,59,-,18.8235302,940.5,0.03416423,0.6050579,10.08429813,-,-,46.87593842,0.04067171,10.72000027,817.26171875,284.1000061,12.86079311,77.5922699,20,-,32,3.33586788,22.51298904,7.34732676,4.44178772,13.61010933,1.58000004,63.59601212,20.75515938,11.59200001,12,14.11764717,-,13.13704395,7.61190414,37.11029434,0.52793354,16.40434837,153,153.24499512,0,-9.71752834,14.30000019,50
