"","GPS.Time","Device.Time","Longitude","Latitude","GPS.Speed..Meters.second.","Horizontal.Dilution.of.Precision","Altitude","Bearing","Acceleration.Sensor.Total..g.","Acceleration.Sensor.X.axis..g.","Acceleration.Sensor.Y.axis..g.","Acceleration.Sensor.Z.axis..g.","Ambient.air.temp..C.","Average.trip.speed.whilst.moving.only..km.h.","Average.trip.speed.whilst.stopped.or.moving..km.h.","Barometric.pressure..from.vehicle..psi.","Cost.per.mile.km..Instant....km.","Cost.per.mile.km..Trip....km.","Distance.to.empty..Estimated..km.","Distance.travelled.with.MIL.CEL.lit.km.","Engine.Coolant.Temperature..C.","Engine.kW..At.the.wheels..kW.","Engine.Load...","Engine.RPM.rpm.","Fuel.cost..trip..cost.","Fuel.flow.rate.hour.l.hr.","Fuel.flow.rate.minute.cc.min.","Fuel.Level..From.Engine.ECU....","Fuel.Rail.Pressure.psi.","Fuel.Remaining..Calculated.from.vehicle.profile....","Fuel.used..trip..l.","GPS.Accuracy.m.","GPS.Altitude.m.","GPS.Bearing...","GPS.Latitude...","GPS.Longitude...","GPS.Satellites","Horsepower..At.the.wheels..hp.","Intake.Air.Temperature..C.","Intake.Manifold.Pressure.psi.","Kilometers.Per.Litre.Instant..kpl.","Kilometers.Per.Litre.Long.Term.Average..kpl.","Litres.Per.100.Kilometer.Instant..l.100km.","Litres.Per.100.Kilometer.Long.Term.Average..l.100km.","Mass.Air.Flow.Rate.g.s.","Miles.Per.Gallon.Instant..mpg.","Miles.Per.Gallon.Long.Term.Average..mpg.","Speed..GPS..km.h.","Speed..OBD..km.h.","Throttle.Position.Manifold....","Torque.Nm.","Trip.average.KPL.kpl.","Trip.average.Litres.100.KM.l.100km.","Trip.average.MPG.mpg.","Trip.Distance.km.","Trip.distance..stored.in.vehicle.profile..km.","Trip.Time.Since.journey.start..s.","Trip.time.whilst.moving..s.","Trip.time.whilst.stationary..s.","Turbo.Boost...Vacuum.Gauge.psi.","Voltage..OBD.Adapter..V.","Volumetric.Efficiency..Calculated...."
"1785","Sun Feb 04 15:17:26 GMT+05:30 2018","04-Feb-2018 15:17:25.176",77.58891182,12.85702844,5.86,9.648001,831.613525390625,182.9,0.04294388,-0.08594229,0.78833342,0.5768556,NA,"11.74849129","10.17247391","13.05339622","0.07530614","0.34787035","236.35824585","0",90,"14.65696907","16.07843208",1596.75,"0.36589861","1.82611501","30.43525124","-","-","48.60617447","0.43559361",9.64800072,831.61352539,182.8999939,12.85702801,77.58891296,27,"19.65531921",32,3.19083023,13.14242649,7.48492289,"7.60878658",13.35991287,"-",37.12549973,21.14385033,"21.09600067",22,5.88235283,"75.84919739","4.33935976","23.04439545","12.25807858","1.6988076",5.49501896,596,521.95202637,74.25900269,-9.86256599,14,"-"
"1786","Sun Feb 04 15:17:27 GMT+05:30 2018","04-Feb-2018 15:17:26.178",77.58891877,12.85697326,5.73,9.648001,832.027099609375,179.3,0.04351045,-0.12822515,0.76557434,0.5968678,NA,"11.76706791","10.19130421","13.05339622","0.17112625","0.34741774","236.47540283","0",90,"-","36.47058868",1511.75,"0.36673003","2.34113765","39.01895905","-","-","48.6046524","0.4365834",9.64800072,832.02709961,179.30000305,12.85697365,77.58892059,27,"-",32,4.49617004,9.39697742,7.48625374,"10.64149857",13.35753822,"-",26.54513359,21.14760971,"20.62800026",21,16.86274529,"-","4.34829569","22.99703789","12.28332043","1.70787942",5.50409079,597,522.93798828,74.25900269,-8.55722618,14,"-"
"1787","Sun Feb 04 15:17:28 GMT+05:30 2018","04-Feb-2018 15:17:27.179",77.58890996,12.85691153,6.28,9.648001,835.113403320312,172.3,0.05643516,-0.00778183,0.93775755,0.38563702,NA,"11.79158306","10.21527767","13.05339622","0.17112625","0.34698904","236.50404358","0",90,"6.01995182","56.07843399",1735.75,"0.36823344","4.79052496","79.84208679","-","-","48.60189819","0.43837318",9.64800072,835.11340332,172.30000305,12.85691166,77.58891296,27,"8.07288837",32,9.71752834,4.38357687,7.48409605,"22.81194496",13.36138916,"-",12.38298607,21.14151382,"22.6079998",24,17.25490189,"33.11828613","4.34835768","22.99670982","12.28349686","1.71595442",5.51216602,598,523.97998047,74.25900269,-3.33586788,14,"-"
"1788","Sun Feb 04 15:17:29 GMT+05:30 2018","04-Feb-2018 15:17:28.182",77.58891232,12.85685364,6.01,9.648001,835.244140625,172,-0.02997811,-0.00643949,0.78461128,0.46977499,NA,"11.81999969","10.24263477","13.05339622","0.20693228","0.34698904","236.42962646","0",90,"6.01995182","24.70588303",1875,"0.36893478","3.85845423","64.30757141","-","-","48.60061646","0.43920812",9.64800072,835.24414062,172,12.85685349,77.58891296,28,"8.07288837",32,6.81677389,6.21999931,7.48321724,"16.07683754",13.36295795,"-",17.57061958,21.13903236,"21.63599968",26,5.88235283,"33.11828613","4.3516531","22.97929573","12.29280472","1.72151697",5.51772833,599,524.90600586,74.25900269,-6.23662233,14,"-"
"1789","Sun Feb 04 15:17:30 GMT+05:30 2018","04-Feb-2018 15:17:29.177",77.58891638,12.85679087,6.17,10.72,834.5234375,172.6,0.01422256,-0.07019976,0.76893097,0.55708605,NA,"11.84630775","10.26816654","13.05339622","0.20693228","0.34527206","236.39828491","0",90,"1.58115685","14.11764717",1861.5,"0.36933717","1.86229682","31.03828049","-","-","48.59988022","0.43968713",10.72000027,834.5234375,172.6000061,12.85679054,77.58891296,28,"2.12036633",32,3.04579258,13.96101189,7.48771572,"7.16265535",13.35492992,"-",39.4378891,21.15173912,"22.21199989",25,5.88235283,"8.11099148","4.36854124","22.89046097","12.34051132","1.72792733",5.52413893,600,525.94500732,74.25900269,-10.00760365,14,"-"
"1790","Sun Feb 04 15:17:31 GMT+05:30 2018","04-Feb-2018 15:17:30.177",77.58892238,12.85671879,6.58,10.72,833.286376953125,172.1,-0.01220672,-0.02291463,0.75544691,0.53548735,NA,"11.86653423","10.28842831","13.05339622","0.1379368","0.34457216","236.53482056","0",90,"1.58115685","14.11764717",1598.75,"0.36996099","1.84888828","30.81480408","-","-","48.59873581","0.44042978",10.72000027,833.28637695,172.1000061,12.85671902,77.58892059,28,"2.12036633",32,3.04579258,13.52140427,7.49190331,"7.39552784",13.34746552,"-",38.19605637,21.1635685,"23.68799973",22,5.88235283,"8.11099148","4.38459873","22.80662918","12.38587189","1.73750353",5.53371525,601,526.9039917,74.25900269,-10.00760365,13.89999962,"-"
"1791","Sun Feb 04 15:17:32 GMT+05:30 2018","04-Feb-2018 15:17:31.176",77.58893826,12.85669057,5.49,11.792,833.834350585938,175.7,0.14071168,-0.29095134,0.91859931,0.50980091,NA,"11.86653423","10.28842831","13.05339622","0.1379368","0.34457216","236.53482056","0",90,"1.58115685","16.07843208",1598.75,"0.36996099","1.84888828","30.81480408","-","-","48.59873581","0.44042978",11.79199982,833.83435059,175.69999695,12.85669041,77.58893585,26,"2.12036633",32,3.04579258,13.52140427,7.49190331,"7.39552784",13.34746552,"-",38.19605637,21.1635685,"19.76399803",22,5.88235283,"8.11099148","4.38459873","22.80662918","12.38587189","1.73750353",5.53371525,602,527.93499756,74.25900269,-10.00760365,14,"-"
"1792","Sun Feb 04 15:17:33 GMT+05:30 2018","04-Feb-2018 15:17:32.177",77.58890992,12.8566219,4.95,10.72,833.838623046875,210.5,0.01979133,-0.33225739,0.81737643,0.41065148,NA,"11.8767395","10.30000019","13.05339622","0.1379368","0.34327608","236.66130066","0",90,"-","19.2156868",1350.25,"0.37061203","1.89037895","31.50631714","-","-","48.59754181","0.44120482",10.72000027,833.83862305,210.5,12.85662174,77.58891296,26,"-",32,3.62594342,11.63767529,7.49477816,"8.59260273",13.34234524,"-",32.87479019,21.17168999,"17.81999969",17,5.88235283,"-","4.3973012","22.74074936","12.42175484","1.74610519",5.54231691,603,528.95697021,74.25900269,-9.42745304,14,"-"
"1793","Sun Feb 04 15:17:34 GMT+05:30 2018","04-Feb-2018 15:17:33.177",77.58889823,12.85656977,4.47,9.648001,831.801635742188,180,0.07600351,-0.11468045,0.80163389,0.60797203,NA,"11.88293648","10.30808926","13.05339622","0.11323238","0.34216377","236.746521","0",90,"-","23.92156982",1131.5,"0.37123996","1.78813601","29.80226707","-","-","48.59639359","0.44195238",9.64800072,831.80163574,180,12.85657024,77.58889771,27,"-",32,4.06105661,9.5069418,7.49617243,"10.51841068",13.33986378,"-",26.8557682,21.17562866,"16.09199905",15,5.88235283,"-","4.40623426","22.69464493","12.44698906","1.75222516",5.54843664,604,529.98602295,74.25900269,-8.99234009,14,"-"
"1794","Sun Feb 04 15:17:35 GMT+05:30 2018","04-Feb-2018 15:17:34.182",77.58889616,12.85653301,4.39,10.72,831.665771484375,181.2,-0.00164466,-0.27874741,0.89761031,0.23560159,NA,"11.89108944","10.31786919","13.05339622","0.11323238","0.34216377","236.78765869","0",90,"-","25.49019623",1170,"0.37156522","1.71250904","28.54181671","-","-","48.59579849","0.4423396",10.72000027,831.66577148,181.19999695,12.85653305,77.58889771,26,"-",32,4.6412077,8.75892544,7.49704695,"11.41668797",13.33830738,"-",24.74272919,21.17809868,"15.80399895",16,7.84313726,"-","4.41383028","22.65558815","12.46844769","1.75576437",5.5519762,605,530.93701172,74.25900269,-8.41218853,14.10000038,"-"
